ZoneID,Accessible_ha,Buffer,Threshold,Species,Area_ha,Accessible_pct
24,26.08,5km,Omission,Rparvifolia,25.98400679,100.37
24,24.19,1km,Omission,Rparvifolia,25.98400679,93.09
4,4249.99,5km,High08,Rleprosula,6234.815815,68.17
19,433451.5,5km,DanumPlot,Rleprosula,661944.7426,65.48
19,190219.61,5km,High08,Rleprosula,294889.4367,64.51
19,134630.04,5km,DanumPlot,Rparvifolia,217470.0704,61.91
4,67048.31,5km,DanumPlot,Rleprosula,123082.6664,54.47
6,276537.47,5km,High08,Rleprosula,511603.42,54.05
18,190563.45,5km,High08,Rleprosula,384317.6807,49.58
20,531221.99,5km,High08,Rleprosula,1205950.723,44.05
20,966277.85,5km,DanumPlot,Rleprosula,2529854.545,38.19
1,287088.58,5km,Omission,Rleprosula,824514.1639,34.82
6,561084.35,5km,DanumPlot,Rleprosula,1654703.27,33.91
18,460640.82,5km,DanumPlot,Rleprosula,1396340.888,32.99
17,59919.51,5km,High08,Rleprosula,182767.3255,32.78
9,190171.75,5km,High08,Rleprosula,612537.4609,31.05
16,363194.07,5km,High08,Rleprosula,1178865.999,30.81
1,171145.58,5km,Omission,Rparvifolia,555618.3631,30.8
9,557285.63,5km,DanumPlot,Rleprosula,1866716.372,29.85
1,19308.5,5km,EqSS,Rparvifolia,67779.23546,28.49
4,943713.47,5km,EqSS,Rleprosula,3315426.829,28.46
14,342270.58,5km,High08,Rleprosula,1213036.049,28.22
11,378082.58,5km,High08,Rleprosula,1345487.205,28.1
6,139616.52,1km,High08,Rleprosula,511603.42,27.29
24,10662.42,5km,EqSS,Rleprosula,39690.08807,26.86
21,165266.15,5km,High08,Rleprosula,638477.4667,25.88
16,472075.08,5km,High08,Rparvifolia,1861530.424,25.36
16,687539.99,5km,DanumPlot,Rleprosula,2782349.833,24.71
1,20685.49,5km,EqSS,Rleprosula,85036.60628,24.33
11,1246428.77,5km,DanumPlot,Rleprosula,5586613.836,22.31
6,1070415.62,5km,EqSS,Rleprosula,5393479.522,19.85
17,104948.26,5km,DanumPlot,Rleprosula,534684.0347,19.63
7,424110.51,5km,DanumPlot,Rleprosula,2244116.219,18.9
4,23146.7,1km,DanumPlot,Rleprosula,123082.6664,18.81
7,153158.32,5km,High08,Rleprosula,815561.2858,18.78
19,40544.3,1km,DanumPlot,Rparvifolia,217470.0704,18.64
19,54057.97,1km,High08,Rleprosula,294889.4367,18.33
4,1137.21,1km,High08,Rleprosula,6234.815815,18.24
8,11308.34,5km,High08,Rleprosula,62127.29748,18.2
19,118993.64,1km,DanumPlot,Rleprosula,661944.7426,17.98
18,68773.83,1km,High08,Rleprosula,384317.6807,17.9
14,633238.78,5km,DanumPlot,Rleprosula,3577743.125,17.7
12,58594.24,5km,High08,Rleprosula,332810.9224,17.61
6,291177.21,1km,DanumPlot,Rleprosula,1654703.27,17.6
1,139756.73,1km,Omission,Rleprosula,824514.1639,16.95
1,4858.1,5km,DanumPlot,Rparvifolia,34134.27456,14.23
11,183792.33,1km,High08,Rleprosula,1345487.205,13.66
21,562430.34,5km,DanumPlot,Rleprosula,4188833.487,13.43
11,2125652.23,5km,High08,Rparvifolia,15978412.76,13.3
20,159602.99,1km,High08,Rleprosula,1205950.723,13.23
1,71941.39,1km,Omission,Rparvifolia,555618.3631,12.95
18,179210.82,1km,DanumPlot,Rleprosula,1396340.888,12.83
11,2172518.56,5km,EqSS,Rleprosula,17374115.26,12.5
3,493.71,5km,DanumPlot,Rleprosula,4093.949444,12.06
21,1759320.03,5km,EqSS,Rleprosula,14934327.43,11.78
20,295176.72,1km,DanumPlot,Rleprosula,2529854.545,11.67
20,1426786.03,5km,EqSS,Rleprosula,12357526.61,11.55
7,1633129.7,5km,High08,Rparvifolia,14216383.8,11.49
18,1412072.09,5km,EqSS,Rleprosula,12391412.53,11.4
11,633325.92,1km,DanumPlot,Rleprosula,5586613.836,11.34
6,598566.55,1km,EqSS,Rleprosula,5393479.522,11.1
1,7501.76,1km,EqSS,Rparvifolia,67779.23546,11.07
17,20107.83,1km,High08,Rleprosula,182767.3255,11
8,6680.44,1km,High08,Rleprosula,62127.29748,10.75
2,10877.62,5km,DanumPlot,Rleprosula,102082.366,10.66
